404	1060	4	5	2
404	6868	4	5	2
404	8363	4	5	1
404	3159	4	4	4
404	3570	4	5	4
404	70	4	4	4
404	6046	4	5	2
404	1034	4	4	5
404	203	4	5	5
404	23	4	4	1
404	5936	4	4	5
404	9522	4	5	5
404	8733	4	5	5
404	6534	4	5	1
404	3035	4	5	3
404	9011	4	4	3
404	8041	4	4	3
404	8940	4	4	4
404	101	4	5	4
404	9047	4	5	3
404	9319	4	4	3
404	7652	4	5	4
404	1596	4	4	1
404	9537	4	4	4
404	8541	4	5	1
404	2580	4	5	3
404	371	4	5	5
404	2116	4	4	2
404	8578	4	5	2
404	4068	4	4	4
404	7215	4	4	4
404	7009	4	5	2
404	1135	4	5	5
404	8252	4	5	5
404	5748	4	4	1
404	8957	4	4	4
404	4751	4	4	4
404	7245	4	5	1
404	5743	4	5	5
404	9491	4	4	2
404	3268	4	5	3
404	5799	4	4	1
404	1442	4	4	1
404	8010	4	5	2
404	1598	4	5	3
404	8660	4	5	1
404	9915	4	5	2
404	5424	4	4	3
404	9075	4	5	3
404	7076	4	5	1
404	8443	4	4	4
404	7477	4	4	4
404	6642	4	5	2
404	9022	4	4	3
404	8893	4	4	5
404	9320	4	4	4
404	4206	4	4	1
404	7285	4	5	2
404	4733	4	5	2
404	7166	4	4	4
404	4444	4	4	1
404	1482	4	4	1
404	7843	4	5	2
404	3186	4	5	5
404	1101	4	4	3
404	3757	4	3	3
404	7659	4	3	1
404	4361	4	3	2
404	4209	4	3	5
404	3148	4	3	4
404	9355	4	3	4
404	5300	4	3	2
404	1806	4	3	4
404	6059	4	3	4
404	8585	4	3	2
404	4051	4	3	3
404	4719	4	3	5
404	311	4	3	4
404	2552	4	3	3
404	1199	4	3	5
404	9504	4	3	2
404	6579	4	3	4
404	8508	4	3	3
404	305	4	3	1
404	5661	4	3	5
404	2604	4	3	1
404	9290	4	3	3
404	781	4	3	4
404	2813	4	3	1
404	6034	4	3	4
404	4524	4	3	4
404	7326	4	3	2
404	8683	4	3	1
404	3105	4	3	3
404	3055	4	3	4
404	9756	4	3	5
404	2094	4	3	1
404	3254	4	3	2
404	2371	4	3	5
404	8440	4	3	2
404	4977	4	3	5
404	8617	4	3	1
404	9159	4	3	2
404	5444	4	3	1
404	8116	4	3	2
404	8341	4	3	3
404	8152	4	3	3
404	8179	4	3	1
404	132	4	3	3
404	2809	4	3	3
404	6727	4	3	4
404	2649	4	3	3
404	845	4	3	5
404	4217	4	3	3
404	5734	4	3	3
404	9432	4	3	4
404	7337	4	3	4
404	1348	4	3	4
404	3319	4	3	2
404	395	4	3	1
404	9985	4	3	4
404	1218	4	3	4
404	4064	4	3	2
404	5982	4	3	1
404	6803	4	3	4
