#AgId	 SUM(Helpfulness)	 COUNT(Helpfulness) 	 AVG(Helpfulness)/MAX(helpfulness)
0 376.0 130.0 0.48205128205128206
1 445.0 150.0 0.49444444444444446
2 460.0 150.0 0.5111111111111111
3 421.0 140.0 0.5011904761904762
4 417.0 140.0 0.49642857142857144
5 532.0 170.0 0.5215686274509804
6 2313.0 580.0 0.6646551724137931
7 421.0 150.0 0.4677777777777778
8 487.0 160.0 0.5072916666666667
9 2211.0 560.0 0.6580357142857143
10 2422.0 599.0 0.6739009460211464
11 2294.0 571.0 0.6695855224751898
12 433.0 140.0 0.5154761904761904
13 423.0 130.0 0.5423076923076923
14 453.0 150.0 0.5033333333333333
15 420.0 140.0 0.5
16 423.0 140.0 0.5035714285714286
17 460.0 150.0 0.5111111111111111
18 497.0 160.0 0.5177083333333333
19 2321.0 583.0 0.6635220125786163
20 411.0 140.0 0.48928571428571427
21 422.0 140.0 0.5023809523809524
22 516.0 170.0 0.5058823529411764
23 459.0 150.0 0.51
24 440.0 150.0 0.4888888888888889
25 427.0 130.0 0.5474358974358975
26 2278.0 564.0 0.6731678486997635
27 447.0 150.0 0.49666666666666665
28 442.0 150.0 0.4911111111111111
29 416.0 130.0 0.5333333333333333
30 443.0 140.0 0.5273809523809524
31 391.0 140.0 0.4654761904761905
32 358.0 130.0 0.45897435897435895
33 470.0 160.0 0.4895833333333333
34 447.0 140.0 0.5321428571428571
35 377.0 130.0 0.48333333333333334
36 396.0 130.0 0.5076923076923077
37 422.0 140.0 0.5023809523809524
38 443.0 150.0 0.4922222222222222
39 461.0 150.0 0.5122222222222222
40 2453.0 615.0 0.664769647696477
41 454.0 150.0 0.5044444444444445
42 2207.0 542.0 0.6786592865928659
43 476.0 150.0 0.5288888888888889
44 2285.0 570.0 0.6681286549707602
45 408.0 140.0 0.4857142857142857
46 2370.0 595.0 0.6638655462184874
47 420.0 130.0 0.5384615384615384
48 439.0 140.0 0.5226190476190476
49 2127.0 531.0 0.667608286252354
50 445.0 150.0 0.49444444444444446
51 421.0 140.0 0.5011904761904762
52 457.0 150.0 0.5077777777777778
53 481.0 160.0 0.5010416666666667
54 468.0 150.0 0.52
55 443.0 140.0 0.5273809523809524
56 394.0 130.0 0.5051282051282051
57 441.0 140.0 0.525
58 2245.0 553.0 0.6766124171187462
59 467.0 150.0 0.5188888888888888
60 460.0 140.0 0.5476190476190477
61 447.0 140.0 0.5321428571428571
62 484.0 160.0 0.5041666666666667
63 452.0 150.0 0.5022222222222222
64 421.0 150.0 0.4677777777777778
65 460.0 160.0 0.4791666666666667
66 438.0 140.0 0.5214285714285715
67 447.0 150.0 0.49666666666666665
68 422.0 140.0 0.5023809523809524
69 507.0 160.0 0.528125
70 457.0 150.0 0.5077777777777778
71 488.0 160.0 0.5083333333333333
72 422.0 140.0 0.5023809523809524
73 394.0 140.0 0.46904761904761905
74 461.0 150.0 0.5122222222222222
75 2235.0 555.0 0.6711711711711712
76 409.0 150.0 0.45444444444444443
77 435.0 150.0 0.48333333333333334
78 1693.0 424.0 0.6654874213836478
79 428.0 150.0 0.47555555555555556
80 423.0 150.0 0.47
81 461.0 150.0 0.5122222222222222
82 443.0 150.0 0.4922222222222222
83 384.0 130.0 0.49230769230769234
84 457.0 150.0 0.5077777777777778
85 423.0 150.0 0.47
86 2313.0 576.0 0.6692708333333334
87 391.0 130.0 0.5012820512820513
88 432.0 140.0 0.5142857142857142
